Ngày đặt hàng,Số đơn hàng,Mã khách hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền
1/10/2025,BH25.0014,"	KH-00014","	000224002009000",2,1130000,2260000
1/10/2025,BH25.0014,"	KH-00014","	000224002002000",3,1130000,3390000
1/10/2025,BH25.0014,"	KH-00014","	000224002015000",2,1130000,2260000
1/10/2025,BH25.0014,"	KH-00014","	000225002023000",3,1180000,3540000
1/10/2025,BH25.0014,"	KH-00014","	000225002002000",4,1180000,4720000
1/10/2025,BH25.0014,"	KH-00014","	000225002015000",3,1180000,3540000
1/10/2025,BH25.0014,"	KH-00014","	000225002025000",2,1180000,2360000
1/10/2025,BH25.0014,"	KH-00014","	000125002009000",2,1050000,2100000
1/10/2025,BH25.0014,"	KH-00014","	000125002002000",1,1050000,1050000
1/10/2025,BH25.0014,"	KH-00014","	1000240020090000",3,500000,1500000
1/10/2025,BH25.0014,"	KH-00014","	1000240020220000",2,500000,1000000
1/10/2025,BH25.0014,"	KH-00014","	1000230020090000",3,470000,1410000
1/10/2025,BH25.0014,"	KH-00014","	1000220020090000",3,500000,1500000
1/10/2025,BH25.0014,"	KH-00014","	1000220020220000",1,500000,500000
1/10/2025,BH25.0014,"	KH-00014","	1000270020220000",3,500000,1500000
1/10/2025,BH25.0014,"	KH-00014","	000217003001000",3,1250000,3750000
1/10/2025,BH25.0014,"	KH-00014","	000217003008000",2,1250000,2500000
1/10/2025,BH25.0014,"	KH-00014","	000333002001000",2,1300000,2600000
1/10/2025,BH25.0014,"	KH-00014","	000333002022000",1,1300000,1300000
1/10/2025,BH25.0015,"	KH-00015","	1000300050010000",1,2150000,2150000
1/10/2025,BH25.0015,"	KH-00015","	1000300050080000",1,2150000,2150000
1/10/2025,BH25.0015,"	KH-00015","	1000300050080000",3,2150000,6450000
1/10/2025,BH25.0015,"	KH-00015","	000217003005000",1,1250000,1250000
1/10/2025,BH25.0015,"	KH-00015","	000217003001000",2,1250000,2500000
1/10/2025,BH25.0015,"	KH-00015","	000218003008000",1,1270000,1270000
1/10/2025,BH25.0015,"	KH-00015","	000218003001000",2,1270000,2540000
1/10/2025,BH25.0015,"	KH-00015","	000218003005000",1,1270000,1270000
1/10/2025,BH25.0015,"	KH-00015","	000214004000000",2,1250000,2500000
1/10/2025,BH25.0015,"	KH-00015","	000224002026000",1,1130000,1130000
1/10/2025,BH25.0016,"	KH-00016","	000226003015000",1,1200000,1200000
1/10/2025,BH25.0016,"	KH-00016","	000225002023000",5,1180000,5900000
1/10/2025,BH25.0016,"	KH-00016","	000224002023000",3,1130000,3390000
1/10/2025,BH25.0016,"	KH-00016","	000216003008000",2,1200000,2400000
1/10/2025,BH25.0016,"	KH-00016","	000226003023000",1,1200000,1200000
1/10/2025,BH25.0016,"	KH-00016","	000225002002000",2,1180000,2360000
1/10/2025,BH25.0016,"	KH-00016","	000225002025000",1,1180000,1180000
1/10/2025,BH25.0016,"	KH-00016","	000401002022000",10,1300000,13000000
1/10/2025,BH25.0016,"	KH-00016","	000216003001000",3,1200000,3600000
1/10/2025,BH25.0016,"	KH-00016","	000331002022000",2,1250000,2500000
1/10/2025,BH25.0017,"	KH-00017","	000225002023000",5,1180000,5900000
1/10/2025,BH25.0017,"	KH-00017","	000225002002000",5,1180000,5900000
1/10/2025,BH25.0017,"	KH-00017","	000225002009000",5,1180000,5900000
1/10/2025,BH25.0017,"	KH-00017","	000224002002000",2,1130000,2260000
1/10/2025,BH25.0017,"	KH-00017","	000224002023000",2,1130000,2260000
1/10/2025,BH25.0017,"	KH-00017","	000224002009000",1,1130000,1130000
1/10/2025,BH25.0018,"	KH-00018","	000226003002000",1,1200000,1200000
1/10/2025,BH25.0018,"	KH-00018","	000330002001000",1,1200000,1200000
1/10/2025,BH25.0018,"	KH-00018","	000224002015000",1,1130000,1130000
1/10/2025,BH25.0018,"	KH-00018","	000224002026000",1,1130000,1130000
1/10/2025,BH25.0018,"	KH-00018","	000225002023000",2,1180000,2360000
1/10/2025,BH25.0018,"	KH-00018","	000125002009000",1,1050000,1050000
1/10/2025,BH25.0018,"	KH-00018","	000125002013000",1,1050000,1050000
1/10/2025,BH25.0018,"	KH-00018","	000333002001000",1,1300000,1300000
1/10/2025,BH25.0018,"	KH-00018","	000333002022000",1,1300000,1300000
1/10/2025,BH25.0018,"	KH-00018","	000226003014000",1,1200000,1200000
1/10/2025,BH25.0018,"	KH-00018","	000314002005000",10,1200000,12000000
1/11/2025,BH25.0019,"	KH-00019","	1000210020090000",4,1062314.81,4249259
1/11/2025,BH25.0019,"	KH-00019","	1000340010090000",4,1418796.3,5675185
1/11/2025,BH25.0019,"	KH-00019","	1000250020050000",1,1133611.11,1133611
1/11/2025,BH25.0019,"	KH-00019","	1000330010240000",4,1490092.59,5960370
1/11/2025,BH25.0019,"	KH-00019","	1040010000080000",4,1490092.59,5960370
1/11/2025,BH25.0019,"	KH-00019","	000124002009000",1,1775277.78,1775278
1/11/2025,BH25.0019,"	KH-00019","	1000320010090000",4,1703981.48,6815926
1/11/2025,BH25.0019,"	KH-00019","	000226003015000",3,1996296.3,5988889
1/11/2025,BH25.0019,"	KH-00019","	000227002009000",1,1846574.07,1846574
1/11/2025,BH25.0019,"	KH-00019","	000330002002200",2,1917870.37,3835741
1/11/2025,BH25.0019,"	KH-00019","	000231003002000",5,2844722.22,14223611
1/11/2025,BH25.0019,"	KH-00019","	000217003005000",1,1846574.07,1846574
1/11/2025,BH25.0019,"	KH-00019","	000225002007000",1,1917870.37,1917870
1/11/2025,BH25.0020,"	KH-00020","	000331002008000",30,2076388.88,62291666
1/11/2025,BH25.0020,"	KH-00020","	000331002022000",30,2076388.88,62291666
1/11/2025,BH25.0021,"	KH-00021","	000218002007000",40,2175925.92,87037037
1/11/2025,BH25.0022,"	KH-00019","	1000210020090000",1,1062314.81,1062315
1/11/2025,BH25.0022,"	KH-00019","	1000340010090000",2,1418796.3,2837593
1/11/2025,BH25.0022,"	KH-00019","	1000220020220000",2,1133611.11,2267222
1/11/2025,BH25.0022,"	KH-00019","	1000250020050000",1,1133611.11,1133611
1/11/2025,BH25.0022,"	KH-00019","	1000270020150000",2,1133611.11,2267222
1/11/2025,BH25.0022,"	KH-00019","	1000330010240000",2,1490092.59,2980185
1/11/2025,BH25.0022,"	KH-00019","	1040010000080000",1,1490092.59,1490093
1/11/2025,BH25.0022,"	KH-00019","	1000320010090000",2,1703981.48,3407963
1/11/2025,BH25.0022,"	KH-00019","	000304002004000",2,1960648.15,3921296
1/11/2025,BH25.0022,"	KH-00019","	000330002002200",2,1917870.37,3835741
1/11/2025,BH25.0022,"	KH-00019","	000314002019000",1,2488240.74,2488241
1/11/2025,BH25.0022,"	KH-00019","	000231003002000",1,2844722.22,2844722
1/11/2025,BH25.0022,"	KH-00019","	000217003005000",1,1846574.07,1846574
1/11/2025,BH25.0022,"	KH-00019","	000225002007000",2,1917870.37,3835741
1/11/2025,BH25.0023,"	KH-00019","	1000210020090000",4,1062314.81,4249259
1/11/2025,BH25.0023,"	KH-00019","	1000340010090000",4,1418796.3,5675185
1/11/2025,BH25.0023,"	KH-00019","	1000220020220000",2,1133611.11,2267222
1/11/2025,BH25.0023,"	KH-00019","	1000330010240000",4,1490092.59,5960370
1/11/2025,BH25.0023,"	KH-00019","	1000270020150000",1,1133611.11,1133611
1/11/2025,BH25.0023,"	KH-00019","	1000320010090000",4,1703981.48,6815926
1/11/2025,BH25.0023,"	KH-00019","	000304002004000",1,1960648.15,1960648
1/11/2025,BH25.0023,"	KH-00019","	000330002002200",4,1917870.37,7671481
1/11/2025,BH25.0023,"	KH-00019","	000217003005000",3,1846574.07,5539722
1/11/2025,BH25.0023,"	KH-00019","	000231003002000",3,2844722.22,8534167
1/11/2025,BH25.0023,"	KH-00019","	000217004005000",1,2488240.74,2488241
1/11/2025,BH25.0023,"	KH-00019","	000225002007000",2,1917870.37,3835741
1/11/2025,BH25.0024,"	KH-00019","	1000210020090000",3,1062314.81,3186944
1/11/2025,BH25.0024,"	KH-00019","	1000250020050000",1,1133611.11,1133611
1/11/2025,BH25.0024,"	KH-00019","	1000270020150000",1,1133611.11,1133611
1/11/2025,BH25.0024,"	KH-00019","	1040010000080000",2,1490092.59,2980185
1/11/2025,BH25.0024,"	KH-00019","	000123002009000",2,1561388.89,3122778
1/11/2025,BH25.0024,"	KH-00019","	000124002009000",3,1775277.78,5325833
1/11/2025,BH25.0024,"	KH-00019","	1000320010090000",1,1703981.48,1703981
1/11/2025,BH25.0024,"	KH-00019","	000330002002200",1,1917870.37,1917870
1/11/2025,BH25.0024,"	KH-00019","	000231003002000",1,2844722.22,2844722
1/11/2025,BH25.0024,"	KH-00019","	000217003005000",3,1846574.07,5539722
1/11/2025,BH25.0024,"	KH-00019","	000217004005000",3,2488240.74,7464722
1/11/2025,BH25.0025,"	KH-00019","	1000210020090000",9,1062314.81,9560833
1/11/2025,BH25.0025,"	KH-00019","	1000340010090000",1,1418796.3,1418796
1/11/2025,BH25.0025,"	KH-00019","	1000220020090000",3,1133611.11,3400833
1/11/2025,BH25.0025,"	KH-00019","	1000270020220000",2,1133611.11,2267222
1/11/2025,BH25.0025,"	KH-00019","	1000250020220000",6,1133611.11,6801667
1/11/2025,BH25.0025,"	KH-00019","	1040010000080000",4,1490092.59,5960370
1/11/2025,BH25.0025,"	KH-00019","	1000330010240000",1,1490092.59,1490093
1/11/2025,BH25.0025,"	KH-00019","	000123002009000",3,1561388.89,4684167
1/11/2025,BH25.0025,"	KH-00019","	000124002009000",7,1775277.78,12426944
1/11/2025,BH25.0025,"	KH-00019","	1000320010090000",1,1703981.48,1703981
1/11/2025,BH25.0025,"	KH-00019","	000131002007000",9,1418796.3,12769167
1/11/2025,BH25.0025,"	KH-00019","	000304002004000",3,1960648.15,5881944
1/11/2025,BH25.0025,"	KH-00019","	000226003015000",9,1996296.3,17966667
1/11/2025,BH25.0025,"	KH-00019","	000330002002200",1,1917870.37,1917870
1/11/2025,BH25.0025,"	KH-00019","	000314002020000",4,2488240.74,9952963
1/11/2025,BH25.0025,"	KH-00019","	000231003002000",2,2844722.22,5689444
1/11/2025,BH25.0025,"	KH-00019","	000217003001000",6,1846574.07,11079444
1/11/2025,BH25.0025,"	KH-00019","	000217004008000",2,2488240.74,4976481
1/11/2025,BH25.0025,"	KH-00019","	000225002004000",7,1917870.37,13425093
1/11/2025,BH25.0026,"	KH-00019","	1000220020090000",1,1133611.11,1133611
1/11/2025,BH25.0026,"	KH-00019","	1040010000080000",1,1490092.59,1490093
1/11/2025,BH25.0026,"	KH-00019","	000123002009000",2,1561388.89,3122778
1/11/2025,BH25.0026,"	KH-00019","	000304002004000",1,1960648.15,1960648
1/11/2025,BH25.0026,"	KH-00019","	000330002002200",1,1917870.37,1917870
1/11/2025,BH25.0026,"	KH-00019","	000231003002000",1,2844722.22,2844722
1/11/2025,BH25.0026,"	KH-00019","	000226003015000",1,1996296.3,1996296
1/11/2025,BH25.0027,"	KH-00019","	000226003015000",8,1996296.3,15970370
1/11/2025,BH25.0027,"	KH-00019","	000225002004000",7,1917870.37,13425093
1/13/2025,BH25.0028,"	KH-00019","	1000210020090000",1,1062314.81,1062315
1/13/2025,BH25.0028,"	KH-00019","	1000340010090000",2,1418796.3,2837593
1/13/2025,BH25.0028,"	KH-00019","	1000220020090000",1,1133611.11,1133611
1/13/2025,BH25.0028,"	KH-00019","	1000330010240000",2,1490092.59,2980185
1/13/2025,BH25.0028,"	KH-00019","	1040010000080000",1,1490092.59,1490093
1/13/2025,BH25.0028,"	KH-00019","	000225002004000",2,1917870.37,3835741
1/13/2025,BH25.0028,"	KH-00019","	1000320010090000",2,1703981.48,3407963
1/13/2025,BH25.0028,"	KH-00019","	000226003015000",2,1996296.3,3992593
1/13/2025,BH25.0028,"	KH-00019","	000227002009000",1,1846574.07,1846574
1/13/2025,BH25.0028,"	KH-00019","	000231003002000",2,2844722.22,5689444
1/13/2025,BH25.0029,"	KH-00019","	1000210020090000",3,1062314.81,3186944
1/13/2025,BH25.0029,"	KH-00019","	1000340010090000",6,1418796.3,8512778
1/13/2025,BH25.0029,"	KH-00019","	1000220020090000",1,1133611.11,1133611
1/13/2025,BH25.0029,"	KH-00019","	1000250020220000",1,1133611.11,1133611
1/13/2025,BH25.0029,"	KH-00019","	1000270020220000",3,1133611.11,3400833
1/13/2025,BH25.0029,"	KH-00019","	1000330010240000",6,1490092.59,8940556
1/13/2025,BH25.0029,"	KH-00019","	1040010000080000",2,1490092.59,2980185
1/13/2025,BH25.0029,"	KH-00019","	1000320010090000",6,1703981.48,10223889
1/13/2025,BH25.0029,"	KH-00019","	000226003015000",3,1996296.3,5988889
1/13/2025,BH25.0029,"	KH-00019","	000227002009000",1,1846574.07,1846574
1/13/2025,BH25.0029,"	KH-00019","	000330002002200",2,1917870.37,3835741
1/13/2025,BH25.0029,"	KH-00019","	000231003002000",5,2844722.22,14223611
1/13/2025,BH25.0029,"	KH-00019","	000217003001000",2,1846574.07,3693148
1/13/2025,BH25.0029,"	KH-00019","	000225002004000",7,1917870.37,13425093
1/13/2025,BH25.0030,"	KH-00019","	1000210020090000",2,1062314.81,2124630
1/13/2025,BH25.0030,"	KH-00019","	1000340010090000",5,1418796.3,7093982
1/13/2025,BH25.0030,"	KH-00019","	1000220020090000",1,1133611.11,1133611
1/13/2025,BH25.0030,"	KH-00019","	1000250020220000",1,1133611.11,1133611
1/13/2025,BH25.0030,"	KH-00019","	1000270020220000",3,1133611.11,3400833
1/13/2025,BH25.0030,"	KH-00019","	1000330010240000",5,1490092.59,7450463
1/13/2025,BH25.0030,"	KH-00019","	000124002009000",2,1775277.78,3550556
1/13/2025,BH25.0030,"	KH-00019","	1000320010090000",2,1703981.48,3407963
1/13/2025,BH25.0030,"	KH-00019","	000226003015000",2,1996296.3,3992593
1/13/2025,BH25.0030,"	KH-00019","	000227002009000",3,1846574.07,5539722
1/13/2025,BH25.0030,"	KH-00019","	000330002002200",2,1917870.37,3835741
1/13/2025,BH25.0030,"	KH-00019","	000231003002000",1,2844722.22,2844722
1/13/2025,BH25.0030,"	KH-00019","	000217003001000",3,1846574.07,5539722
1/13/2025,BH25.0030,"	KH-00019","	000217004008000",5,2488240.74,12441204
1/13/2025,BH25.0030,"	KH-00019","	000225002004000",4,1917870.37,7671481
1/13/2025,BH25.0031,"	KH-00022","	000413002001000",1,1450000,1450000
1/13/2025,BH25.0031,"	KH-00022","	000413002003000",2,1450000,2900000
1/13/2025,BH25.0031,"	KH-00022","	000413002022000",2,1450000,2900000
1/13/2025,BH25.0032,"	KH-00023","	000208002007000",101,1498148.14,151312962
1/13/2025,BH25.0032,"	KH-00023","	000216002007000",89,1498148.14,133335184
1/13/2025,BH25.0033,"	KH-00024","	000331002008000",14,1250000,17500000
1/13/2025,BH25.0033,"	KH-00024","	000331002022000",14,1250000,17500000
1/13/2025,BH25.0033,"	KH-00024","	000216003005000",3,1200000,3600000
1/13/2025,BH25.0033,"	KH-00024","	000216003008000",2,1200000,2400000
1/13/2025,BH25.0033,"	KH-00024","	000216003001000",2,1200000,2400000
1/13/2025,BH25.0033,"	KH-00024","	000207004000000",10,1250000,12500000
1/13/2025,BH25.0034,"	KH-00025","	000217002007000",6,2212962.96,13277778
1/13/2025,BH25.0035,"	KH-00026","	000226003015000",3,2592592.59,7777778
1/13/2025,BH25.0036,"	KH-00027","	100029005001000",2,3222643.1,6445286
1/13/2025,BH25.0036,"	KH-00027","	100029005020000",3,3222643.1,9667929
1/13/2025,BH25.0036,"	KH-00027","	000208002007000",2,1100000,2200000
1/13/2025,BH25.0036,"	KH-00027","	000208002023000",2,1100000,2200000
1/13/2025,BH25.0036,"	KH-00027","	000209002025000",2,1150000,2300000
1/13/2025,BH25.0036,"	KH-00027","	1000260020220000",1,470000,470000
1/13/2025,BH25.0036,"	KH-00027","	000333002022000",1,1300000,1300000
1/15/2025,BH25.0037,"	KH-00022","	000231003002000",25,1200000,30000000
1/15/2025,BH25.0038,"	KH-00018","	000335002013000",60,1200000,72000000
1/15/2025,BH25.0039,"	KH-00028","	000225002015000",3,1180000,3540000
1/15/2025,BH25.0039,"	KH-00028","	000225002023000",2,1180000,2360000
1/15/2025,BH25.0039,"	KH-00028","	000224002015000",1,1130000,1130000
1/15/2025,BH25.0039,"	KH-00028","	000224002023000",2,1130000,2260000
1/15/2025,BH25.0039,"	KH-00028","	000217003001000",1,1250000,1250000
1/15/2025,BH25.0039,"	KH-00028","	000217002001000",2,1150000,2300000
1/15/2025,BH25.0039,"	KH-00028","	000218002001000",2,1180000,2360000
1/15/2025,BH25.0039,"	KH-00028","	000214004000000",1,1250000,1250000
1/15/2025,BH25.0039,"	KH-00028","	000215004000000",2,1280000,2560000
1/15/2025,BH25.0039,"	KH-00028","	000335002001000",1,1200000,1200000
1/15/2025,BH25.0039,"	KH-00028","	000333002001000",10,1300000,13000000
1/15/2025,BH25.0039,"	KH-00028","	000324000180000",1,1300000,1300000
1/16/2025,BH25.0040,"	KH-00029","	000123002007000",2,2027777.78,4055556
1/16/2025,BH25.0041,"	KH-00030","	000225002002000",35,1805555.56,63194445
1/16/2025,BH25.0041,"	KH-00030","	000225002007000",35,1805555.56,63194445
1/16/2025,BH25.0041,"	KH-00030","	000225002015000",40,1805555.56,72222222
1/16/2025,BH25.0041,"	KH-00030","	000225002004000",40,1805555.56,72222222
1/16/2025,BH25.0041,"	KH-00030","	000329002005000",77,2592592.59,199629629
1/16/2025,BH25.0041,"	KH-00030","	000329002004001",78,2592592.59,202222222
1/16/2025,BH25.0041,"	KH-00030","	1000350050220000",1,4066666.67,4066667
1/16/2025,BH25.0041,"	KH-00030","	100028005020000",1,4066666.67,4066667
1/16/2025,BH25.0042,"	KH-00006","	000225002007000",1,1898148,1898148
1/16/2025,BH25.0042,"	KH-00006","	1050010000200000",1,1759259,1759259
1/16/2025,BH25.0042,"	KH-00006","	1000210020090000",3,1076111,3228333
1/16/2025,BH25.0043,"	KH-00006","	000224002004000",2,1842592,3685184
1/16/2025,BH25.0043,"	KH-00006","	000225002007000",5,1898148,9490740
1/16/2025,BH25.0043,"	KH-00006","	1000240020090000",3,1148333,3444999
1/16/2025,BH25.0043,"	KH-00006","	1000270020150000",3,1148333,3444999
1/16/2025,BH25.0044,"	KH-00006","	000226003015000",13,2037037,26481481
1/16/2025,BH25.0045,"	KH-00031","	000217003005000",1,2453703.7,2453704
1/16/2025,BH25.0045,"	KH-00031","	000217003008000",1,2453703.7,2453704
1/16/2025,BH25.0046,"	KH-00032","	1040010000080000",1,1935185.19,1935185
1/17/2025,BH25.0047,"	KH-00033","	000217002003000",5,2212962.96,11064815
1/18/2025,BH25.0048,"	KH-00034","	000324000040000",1,1300000,1300000
1/18/2025,BH25.0048,"	KH-00034","	000324000180000",1,1300000,1300000
1/18/2025,BH25.0048,"	KH-00034","	000125002013000",2,1050000,2100000
1/18/2025,BH25.0048,"	KH-00034","	000125002023000",2,1050000,2100000
1/18/2025,BH25.0048,"	KH-00034","	000231003005000",1,1200000,1200000
1/18/2025,BH25.0048,"	KH-00034","	000331002008000",1,1250000,1250000
1/18/2025,BH25.0048,"	KH-00034","	000331002004000",1,1250000,1250000
1/18/2025,BH25.0048,"	KH-00034","	000214004000000",1,1250000,1250000
1/18/2025,BH25.0049,"	KH-00035","	000217004005000",1,1300000,1300000
1/18/2025,BH25.0049,"	KH-00035","	000225002023000",4,1180000,4720000
1/18/2025,BH25.0049,"	KH-00035","	000218003005000",1,1270000,1270000
1/18/2025,BH25.0049,"	KH-00035","	000218003001000",1,1270000,1270000
1/18/2025,BH25.0049,"	KH-00035","	000217003005000",1,1250000,1250000
1/18/2025,BH25.0049,"	KH-00035","	000217003008000",1,1250000,1250000
1/18/2025,BH25.0049,"	KH-00035","	000218004005000",1,1320000,1320000
1/18/2025,BH25.0049,"	KH-00035","	000218004008000",1,1320000,1320000
1/18/2025,BH25.0049,"	KH-00035","	000217004008000",1,1300000,1300000
1/20/2025,BH25.0050,"	KH-00036","	1010020000050000",2,7490740.74,14981481
1/20/2025,BH25.0051,"	KH-00037","	000324000040000",1,3879629.63,3879630
1/20/2025,BH25.0052,"	KH-00038","	000225002025000",5,1180000,5900000
1/20/2025,BH25.0052,"	KH-00038","	000225002009000",3,1180000,3540000
1/20/2025,BH25.0052,"	KH-00038","	000225002002000",3,1180000,3540000
1/20/2025,BH25.0052,"	KH-00038","	000225002023000",5,1180000,5900000
1/20/2025,BH25.0052,"	KH-00038","	000216003008000",1,1200000,1200000
1/20/2025,BH25.0052,"	KH-00038","	000217003008000",2,1250000,2500000
1/20/2025,BH25.0052,"	KH-00038","	000218003001000",2,1270000,2540000
1/20/2025,BH25.0052,"	KH-00038","	000218003008000",2,1270000,2540000
1/20/2025,BH25.0052,"	KH-00038","	000218002001000",1,1180000,1180000
1/20/2025,BH25.0052,"	KH-00038","	000218002007000",2,1180000,2360000
1/20/2025,BH25.0052,"	KH-00038","	000217002007000",1,1150000,1150000
1/21/2025,BH25.0053,"	KH-00039","	000217004008000",5,3055556,15277780
1/21/2025,BH25.0053,"	KH-00039","	000231003022000",10,3472222,34722220
1/21/2025,BH25.0053,"	KH-00039","	000231003002000",10,3472222,34722220
1/21/2025,BH25.0053,"	KH-00039","	000304002019000",10,2407407,24074070
1/21/2025,BH25.0053,"	KH-00039","	000304002004000",10,2407407,24074070
1/21/2025,BH25.0053,"	KH-00039","	1000270020220000",15,1388889,20833335
1/21/2025,BH25.0054,"	KH-00040","	000305002022000",103,1800000,185400000
1/22/2025,BH25.0055,"	KH-00041","	000209002007000",5,2212962.96,11064815
1/22/2025,BH25.0056,"	KH-00042","	000225002023000",3,1618981.48,4856944
1/22/2025,BH25.0056,"	KH-00042","	000225002025000",1,1618981.48,1618981
1/22/2025,BH25.0056,"	KH-00042","	000224002002000",1,1558796.3,1558796
1/22/2025,BH25.0056,"	KH-00042","	000224002023000",1,1558796.3,1558796
1/22/2025,BH25.0056,"	KH-00042","	000331002008000",2,1799537.04,3599074
1/22/2025,BH25.0056,"	KH-00042","	000330002001000",2,1618981.48,3237963
1/22/2025,BH25.0056,"	KH-00042","	000330002002200",1,1618981.48,1618981
1/22/2025,BH25.0056,"	KH-00042","	000131002001002",1,1197685.19,1197685
1/22/2025,BH25.0056,"	KH-00042","	000131002004005",1,1197685.19,1197685
1/22/2025,BH25.0056,"	KH-00042","	000305002022000",1,1354166.67,1354167
1/22/2025,BH25.0056,"	KH-00042","	000401002016002",1,1516666.67,1516667
1/22/2025,BH25.0057,"	KH-00043","	000225002023000",2,1180000,2360000
1/22/2025,BH25.0058,"	KH-00036","	100029005020000",3,5453703.7,16361111
1/23/2025,BH25.0059,"	KH-00044","	000125002009000",4,1050000,4200000
1/23/2025,BH25.0059,"	KH-00044","	000125002013000",2,1050000,2100000
1/23/2025,BH25.0059,"	KH-00044","	000125002002000",2,1050000,2100000
1/23/2025,BH25.0059,"	KH-00044","	000125002023000",2,1050000,2100000
1/23/2025,BH25.0059,"	KH-00044","	000131002001002",3,1200000,3600000
1/23/2025,BH25.0059,"	KH-00044","	000131002004005",2,1200000,2400000
1/23/2025,BH25.0059,"	KH-00044","	000131002008001",2,1200000,2400000
1/23/2025,BH25.0059,"	KH-00044","	000131002019002",2,1200000,2400000
1/23/2025,BH25.0059,"	KH-00044","	000224002023000",1,1130000,1130000
1/23/2025,BH25.0059,"	KH-00044","	000224002002000",1,1130000,1130000
1/23/2025,BH25.0059,"	KH-00044","	000224002026000",1,1130000,1130000
1/23/2025,BH25.0059,"	KH-00044","	000225002002000",1,1180000,1180000
1/23/2025,BH25.0059,"	KH-00044","	000225002024000",1,1180000,1180000
1/23/2025,BH25.0059,"	KH-00044","	000216002001000",1,1100000,1100000
1/23/2025,BH25.0059,"	KH-00044","	000216002007000",1,1100000,1100000
1/23/2025,BH25.0060,"	KH-00045","	1000300050080000",4,4527778,18111112
1/24/2025,BH25.0061,"	KH-00046","	000225002002000",10,1618981,16189810
1/24/2025,BH25.0061,"	KH-00046","	000225002023000",20,1618981,32379620
1/24/2025,BH25.0061,"	KH-00046","	000225002015000",10,1618981,16189810
1/24/2025,BH25.0061,"	KH-00046","	000225002025000",10,1618981,16189810
1/24/2025,BH25.0061,"	KH-00046","	000125002023000",5,1318055,6590275
1/24/2025,BH25.0061,"	KH-00046","	000125002013000",5,1318055,6590275
1/24/2025,BH25.0061,"	KH-00046","	000124002024000",3,1498611,4495833
1/24/2025,BH25.0061,"	KH-00046","	000215004000000",2,1558796,3117592
1/24/2025,BH25.0061,"	KH-00046","	1000330010090000",1,1354629,1354629
1/24/2025,BH25.0061,"	KH-00046","	1000340010090000",1,1289814,1289814
1/24/2025,BH25.0061,"	KH-00046","	1000340010240000",1,1289814,1289814
2/4/2025,BH25.0062,"	KH-00047","	000225002015000",4,1180000,4720000
2/4/2025,BH25.0062,"	KH-00047","	000225002024000",1,1180000,1180000
2/4/2025,BH25.0062,"	KH-00047","	000225002025000",6,1180000,7080000
2/4/2025,BH25.0062,"	KH-00047","	000225002023000",6,1180000,7080000
2/4/2025,BH25.0062,"	KH-00047","	000218002001000",2,1180000,2360000
2/4/2025,BH25.0062,"	KH-00047","	000401002016000",7,1300000,9100000
