Mã sản phẩm,Tên sản phẩm,Màu sắc,Đơn vị tính,Dòng sản phẩm,Nhóm sản phẩm
	100029005001000,Xe đạp Thống Nhất Touring Blade 700C Đen,	Đen,Chiếc,Xe Touring Blade 700C,Xe thể thao nhôm
	100029005020000,Xe đạp Thống Nhất Touring Blade 700C Xanh,	Xanh,Chiếc,Xe Touring Blade 700C,Xe thể thao nhôm
	000208002023000,Xe đạp Thống Nhất 219-24 Xanh Tím,	Xanh Tím,Chiếc,Xe 219-24,Xe phổ thông
	000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,	Xanh Tím,Chiếc,Xe 219-26,Xe phổ thông
	1000260020220000,Xe đạp Thống Nhất TE Spaceboy 12 Xanh dương,	Xanh dương,Chiếc,Xe Spaceboy 12,Xe trẻ em nhóm 2
	000335002013000,Xe đạp Thống Nhất Super 24 Xanh,	Xanh,Chiếc,Xe Super 24,Xe thể thao thép
	000217002001000,Xe đạp Thống Nhất GN 06-26 Đen,	Đen,Chiếc,Xe GN 06-26,Xe phổ thông
	000218002001000,Xe đạp Thống Nhất GN 06-27 Đen,	Đen,Chiếc,Xe GN 06-27,Xe phổ thông
	000215004000000,Xe đạp Thống Nhất GN 05-27,	05-27,Chiếc,Xe GN 05-27,Xe phổ thông
	000335002001000,Xe đạp Thống Nhất Super 24 Đen,	Đen,Chiếc,Xe Super 24,Xe thể thao thép
	000324000180000,Xe đạp Thống Nhất MTB 26-05_2023 Đen mờ,	mờ,Chiếc,Xe MTB 26-05_2023,Xe thể thao thép
	000329002005000,Xe đạp Thống Nhất MTB 26-07 Tem cam,	Tem cam,Chiếc,Xe MTB 26-07,Xe thể thao thép
	000329002004001,Xe đạp Thống Nhất MTB 26-07 Tem đỏ,	Tem đỏ,Chiếc,Xe MTB 26-07,Xe thể thao thép
	1000350050220000,"Xe đạp Thống Nhất MTB Cyper 2024 27.5""  Ghi",	Ghi,Chiếc,Xe MTB Cyber 27.5 2024,Xe thể thao nhôm
	100028005020000,Xe đạp Thống Nhất MTB Cyper 27.5 Xanh,	Xanh,Chiếc,Xe MTB Cyber 27.5,Xe thể thao nhôm
	1050010000200000,Xe đạp Thống Nhất TE Super Man 12 Xanh,	Xanh,Chiếc,Xe TE Super Man 12 (IP - Bản quyền),Xe trẻ em nhóm 2
	000217002003000,Xe đạp Thống Nhất GN 06-26 Đỏ đun,	Đỏ đun,Chiếc,Xe GN 06-26,Xe phổ thông
	000324000040000,Xe đạp Thống Nhất MTB 26-05_2023 Đỏ đun,	Đỏ đun,Chiếc,Xe MTB 26-05_2023,Xe thể thao thép
	000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,	Kem,Chiếc,Xe Puppy 20,Xe trẻ em nhóm 1
	000231003005000,Xe đạp Thống Nhất M2601 Đen Tem cam,	Tem cam,Chiếc,Xe M2601,Xe thể thao thép
	000218004008000,Xe đạp Thống Nhất GN 06-27 2.0 Pro Ghi,	Ghi,Chiếc,Xe GN 06-27 2.0 Pro,Xe thể thao thép
	1010020000050000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_15 Cam",	Cam,Chiếc,"Xe GRX AT 27,5_2.0",Xe thể thao nhôm
	000231003022000,Xe đạp Thống Nhất M2601 Xanh dương,	Xanh dương,Chiếc,Xe M2601,Xe thể thao thép
	000304002019000,Xe đạp Thống Nhất MTB 20-04 Tem Vàng,	Vàng,Chiếc,Xe MTB 20-04,Xe trẻ em nhóm 1
	000305002022000,Xe đạp Thống Nhất MTB 20-05 Xanh dương,	Xanh dương,Chiếc,Xe MTB 20-05,Xe trẻ em nhóm 1
	000209002007000,Xe đạp Thống Nhất 219-26 Coban,	Coban,Chiếc,Xe 219-26,Xe phổ thông
	000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,	Đen,Chiếc,Xe GN 06 20 2024,Xe trẻ em nhóm 1
	000131002004005,Xe đạp Thống Nhất GN 06 20 2024 Đỏ,	Đỏ,Chiếc,Xe GN 06 20 2024,Xe trẻ em nhóm 1
	000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,	Ghi,Chiếc,Xe GN 06 20 2024,Xe trẻ em nhóm 1
	000131002019002,Xe đạp Thống Nhất GN 06 20 2024 Vàng,	Vàng,Chiếc,Xe GN 06 20 2024,Xe trẻ em nhóm 1
	000225002024000,Xe đạp Thống Nhất New 26 Tím,	Tím,Chiếc,Xe New 26,Xe phổ thông
	000216002001000,Xe đạp Thống Nhất GN 06-24 Đen,	Đen,Chiếc,Xe GN 06-24,Xe phổ thông
	000124002024000,Xe đạp Thống Nhất Neo 2004 Tím,	Tím,Chiếc,Xe Neo 2004,Xe trẻ em nhóm 1
	1000330010090000,"Xe đạp Thống Nhất The Powerpuff Girls 16"" Hồng",	Hồng,Chiếc,Xe TE Powerpuff Girls 16 (IP - Bản quyền),Xe trẻ em nhóm 2
	1000340010240000,"Xe đạp Thống Nhất TE The Powerpuff Girls 12"" Tím",	Tím,Chiếc,Xe TE Powerpuff Girls 12 (IP - Bản quyền),Xe trẻ em nhóm 2
	000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",	Ngọc,Chiếc,Xe Nữ,Xe phổ thông
	1010020010050000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Cam",	Cam,Chiếc,"Xe GRX AT 27,5_2.0",Xe thể thao nhôm
	1010020010220000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Xanh dương",	Xanh dương,Chiếc,"Xe GRX AT 27,5_2.0",Xe thể thao nhôm
	1000300050200000,Xe đạp Thống Nhất MTB SPD 27.5 (xanh da trời),	trời,Chiếc,Xe MTB SPD 27.5,Xe thể thao nhôm
	000334002001000,Xe đạp Thống Nhất Super 20 Đen,	Đen,Chiếc,Xe TE Super 20,Xe trẻ em nhóm 1
	000305002001000,Xe đạp Thống Nhất MTB 20-05 Đen,	Đen,Chiếc,Xe MTB 20-05,Xe trẻ em nhóm 1
	000335002004000,Xe đạp Thống Nhất Super 24 Đỏ,	Đỏ,Chiếc,Xe Super 24,Xe thể thao thép
	000334002013000,Xe đạp Thống Nhất Super 20 Xanh,	Xanh,Chiếc,Xe TE Super 20,Xe trẻ em nhóm 1
	000334002004000,Xe đạp Thống Nhất Super 20 Đỏ,	Đỏ,Chiếc,Xe TE Super 20,Xe trẻ em nhóm 1
	000116002023000,Xe đạp thống nhất TE Love 16 Kem,	Kem,Chiếc,Xe Love 16,Xe trẻ em nhóm 2
	000131002004000,Xe đạp Thống Nhất GN 06 20 Đỏ tươi,	Đỏ tươi,Chiếc,Xe GN 06 20,Xe trẻ em nhóm 1
	100028005008000,Xe đạp Thống Nhất MTB Cyper 27.5 Ghi,	Ghi,Chiếc,Xe MTB Cyber 27.5,Xe thể thao nhôm
	100035005001000,"Xe đạp Thống Nhất MTB Cyper 2024 27.5""  Đen",	Đen,Chiếc,Xe MTB Cyber 27.5 2024,Xe thể thao nhôm
	000231003023000,Xe đạp Thống Nhất M2601 Đen Tem Xanh,	Xanh,Chiếc,Xe M2601,Xe thể thao thép
	1000310050080000,Xe đạp Thống Nhất Road RPD 700C Ghi,	Ghi,Chiếc,Xe Road RPD 700C,Xe thể thao nhôm
	1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,	Đen,Chiếc,Xe Road RPD 700C,Xe thể thao nhôm
	000490002007000,Xe đạp đôi Thống Nhất 26 Coban,	Coban,Chiếc,Xe đạp đôi 26,Xe phổ thông
	000490002004000,Xe đạp đôi Thống Nhất 26 Đỏ tươi,	Đỏ tươi,Chiếc,Xe đạp đôi 26,Xe phổ thông
	000490002009000,Xe đạp đôi Thống Nhất 26 Hồng,	Hồng,Chiếc,Xe đạp đôi 26,Xe phổ thông
	000217004022000,Xe đạp Thống Nhất GN 06-26 2.0 Pro Xanh dương,	Xanh dương,Chiếc,Xe GN 06-26 2.0 Pro,Xe thể thao thép
	000208002003000,Xe đạp Thống Nhất 219-24 Đỏ đun,	Đỏ đun,Chiếc,Xe 219-24,Xe phổ thông
	000324000100000,Xe đạp Thống Nhất MTB 26-05_2023 Xanh rêu,	rêu,Chiếc,Xe MTB 26-05_2023,Xe thể thao thép
	000209002003000,Xe đạp Thống Nhất 219-26 Đỏ đun,	Đỏ đun,Chiếc,Xe 219-26,Xe phổ thông
	000122002009000,Xe đạp Thống Nhất Neo 20-02 Hồng,	Hồng,Chiếc,Xe Neo 20-02,Xe trẻ em nhóm 1
	000122002004000,Xe đạp Thống Nhất Neo 20-02 Đỏ tươi,	Đỏ tươi,Chiếc,Xe Neo 20-02,Xe trẻ em nhóm 1
	000122002002000,Xe đạp Thống Nhất Neo 20-02 Trắng,	Trắng,Chiếc,Xe Neo 20-02,Xe trẻ em nhóm 1
	000122002007000,Xe đạp Thống Nhất Neo 20-02 Coban,	Coban,Chiếc,Xe Neo 20-02,Xe trẻ em nhóm 1
	1000310050200000,Xe đạp Thống Nhất Road RPD 700C Xanh da trời,	trời,Chiếc,Xe Road RPD 700C,Xe thể thao nhôm
	1060010000200000,Xe đạp Thống Nhất TE Super Man 16 Xanh,	Xanh,Chiếc,Xe TE Super Man 16 (IP - Bản quyền),Xe trẻ em nhóm 2
	000224002024000,Xe đạp Thống Nhất New 24 Tím,	Tím,Chiếc,Xe New 24,Xe phổ thông
	000218002003000,Xe đạp Thống Nhất GN 06-27 Đỏ đun,	Đỏ đun,Chiếc,Xe GN 06-27,Xe phổ thông
	000227002014000,Xe đạp Thống Nhất LD 24-02 Xanh Santorini,	Xanh Santorini,Chiếc,Xe LD 24-02,Xe phổ thông
	000304002020000,Xe đạp Thống Nhất MTB 20-04 Tem Xanh da trời,	trời,Chiếc,Xe MTB 20-04,Xe trẻ em nhóm 1
	000216002003000,Xe đạp Thống Nhất GN 06-24 Đỏ đun,	Đỏ đun,Chiếc,Xe GN 06-24,Xe phổ thông
	000413002018000,Xe đạp Thống Nhất Highway 27.5 Đen mờ,	mờ,Chiếc,Xe Highway 27.5,Xe thể thao thép
	1010020010080000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Ghi",	Ghi,Chiếc,"Xe GRX AT 27,5_2.0",Xe thể thao nhôm
	000230002002000,Xe đạp Thống Nhất LD 26 Trắng,	Trắng,Chiếc,Xe LD 26,Xe phổ thông
	000231003002001,Xe đạp Thống Nhất M2601 Shimano Trắng (tem tím),	tím,Chiếc,Xe M2601 Shimano,Xe thể thao thép
	000231003005001,Xe đạp Thống Nhất M2601 Shimano Đen (tem cam),	cam,Chiếc,Xe M2601 Shimano,Xe thể thao thép
	000123002004000,Xe đạp Thống Nhất Neo 20-03 Đỏ tươi,	Đỏ tươi,Chiếc,Xe Neo 20-03,Xe trẻ em nhóm 1
	1010020000080000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_15 Ghi",	Ghi,Chiếc,"Xe GRX AT 27,5_2.0",Xe thể thao nhôm
	000218004008001,Xe đạp Thống Nhất GN 06-27 2.0 Pro Shimano Ghi,	Ghi,Chiếc,Xe GN 06-27 2.0 Pro Shimano,Xe thể thao thép
	000217004008001,Xe đạp Thống Nhất GN 06-26 2.0 Pro Shimano Ghi,	Ghi,Chiếc,Xe GN 06-26 2.0 Pro Shimano,Xe thể thao thép
	000115002019001,Xe đạp Thống Nhất 16 Ben 10 màu vàng,	vàng,Chiếc,Xe TE 16 Ben 10 (IP - Bản quyền),Xe trẻ em nhóm 1
	000124002004000,Xe đạp Thống Nhất Neo 2004 Đỏ tươi,	Đỏ tươi,Chiếc,Xe Neo 2004,Xe trẻ em nhóm 1
	000231003022001,Xe đạp Thống Nhất M2601 Shimano Xanh (tem trắng),	trắng,Chiếc,Xe M2601 Shimano,Xe thể thao thép
	000231003023001,Xe đạp Thống Nhất M2601 Shimano Đen (tem xanh),	xanh,Chiếc,Xe M2601 Shimano,Xe thể thao thép
	000114002000000,Xe đạp Thống Nhất TE 16-04,	16-04,Chiếc,Xe TE 16-04,Xe trẻ em nhóm 1
	000218004009001,Xe đạp Thống Nhất GN 06-27 2.0 Pro BLACKPINK,	BLACKPINK,Chiếc,Xe GN 06-27 2.0 Pro,Xe thể thao thép
	000217004022001,Xe đạp Thống Nhất GN 06-26 2.0 Pro Shimano Xanh,	Xanh,Chiếc,Xe GN 06-26 2.0 Pro Shimano,Xe thể thao thép
	000304002005000,Xe đạp Thống Nhất MTB 20-04 Tem cam,	Tem cam,Chiếc,Xe MTB 20-04,Xe trẻ em nhóm 1
	000123002002000,Xe đạp Thống Nhất Neo 20-03 Trắng,	Trắng,Chiếc,Xe Neo 20-03,Xe trẻ em nhóm 1
	000230002001000,Xe đạp Thống Nhất M 27-01 Đen,	Đen,Chiếc,Xe M 27-01,Xe phổ thông
	000230002027000,Xe đạp Thống Nhất M 27-01 Xanh nước biển,	Xanh nước biển,Chiếc,Xe M 27-01,Xe phổ thông
	000230002014000,Xe đạp Thống Nhất LD 26 Xanh Santorini,	Xanh Santorini,Chiếc,Xe LD 26,Xe phổ thông
	000230002023000,Xe đạp Thống Nhất LD 26 Kem,	Kem,Chiếc,Xe LD 26,Xe phổ thông
	000122002019000,Xe đạp Thống Nhất Bubbles 20 Vàng chanh,	chanh,Chiếc,Xe Neo 20-02 Bubble,Xe trẻ em nhóm 1
	000122002022000,Xe đạp Thống Nhất Bubbles 20 Xanh,	Xanh,Chiếc,Xe Neo 20-02 Bubble,Xe trẻ em nhóm 1
	000132002022001,Xe đạp Thống Nhất GN 2.0 20 xanh - Superman,	Superman,Chiếc,Xe GN 06 2.0 20 DC (IP - Bản quyền),Xe trẻ em nhóm 1
	000132002003001,Xe đạp Thống Nhất GN 2.0 20 đỏ - Wonderwoman,	Wonderwoman,Chiếc,Xe GN 06 2.0 20 DC (IP - Bản quyền),Xe trẻ em nhóm 1
	000132002001001,Xe đạp Thống Nhất GN 2.0 20 đen - Bat man,	Bat man,Chiếc,Xe GN 06 2.0 20 DC (IP - Bản quyền),Xe trẻ em nhóm 1
	000225002002001,Xe đạp Thống Nhất New 26 Trắng DA HP,	HP,Chiếc,Xe New 26,Xe phổ thông
	000225002007001,Xe đạp Thống Nhất New 26 Xanh DA HP,	HP,Chiếc,Xe New 26,Xe phổ thông
	000225002004001,Xe đạp Thống Nhất New 26 màu đỏ DA HP,	HP,Chiếc,Xe New 26,Xe phổ thông
	000225002015001,Xe đạp Thống Nhất New 26 Café/nâu DA HP,	HP,Chiếc,Xe New 26,Xe phổ thông
	1000320010040000,"Xe đạp Thống Nhất Wonder Woman 20"" Đỏ",	Đỏ,Chiếc,Xe TE Wonder Woman 20 (IP - Bản quyền),Xe trẻ em nhóm 2
