ID Bản ghi,Ngày đặt hàng,Năm tài chính,Quý,Tháng,Tuần trong năm,Số đơn hàng,ID Đơn hàng,ID Dòng hàng,Mã khách hàng,Tên khách hàng,ID Tỉnh thành,Tên tỉnh thành,Khu vực,Mã sản phẩm,Tên sản phẩm,Màu sắc,ID Dòng sản phẩm,Tên dòng sản phẩm,Mã nhóm sản phẩm,Tên nhóm sản phẩm,Số lượng,Đơn giá,Thành tiền
11,1/8/2025,2025,1,1,2,BH25.0007,7,11,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Đỏ tươi,Đỏ tươi,20,Xe New 24,CITYBIKE_P,Xe phổ thông,13,1558796.3,20264352
12,1/8/2025,2025,1,1,2,BH25.0007,7,12,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2.14004E+11,Xe đạp Thống Nhất GN 05-26,26-May,5,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,6,1498611.11,8991667
13,1/8/2025,2025,1,1,2,BH25.0007,7,13,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,3.31002E+11,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,Đỏ tươi,18,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,17,1799537.04,30592130
14,1/8/2025,2025,1,1,2,BH25.0007,7,14,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,1.03001E+15,Xe đạp Thống Nhất TE Batman12 Ghi,Ghi,51,Xe TE Batman12 (IP - Bản quyền),KIDBIKE_2,Xe trẻ em nhóm 2,3,1289814.81,3869444
15,1/8/2025,2025,1,1,2,BH25.0007,7,15,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,1.31002E+11,Xe đạp Thống Nhất GN 06 20 Coban,Coban,24,Xe GN 06 20,KIDBIKE_1,Xe trẻ em nhóm 1,15,1197685.19,17965278
16,1/8/2025,2025,1,1,2,BH25.0007,7,16,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,4.01002E+11,"Xe đạp Thống Nhất Nữ Truyền thống Lốp 2 màu, Ngọc",Ngọc,22,Xe Nữ,CITYBIKE_P,Xe phổ thông,36,1516666.67,54600000
17,1/8/2025,2025,1,1,2,BH25.0007,7,17,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2.07004E+11,Xe đạp Thống Nhất 219-05-26,219-05-26,1,Xe 219-05-26,CITYBIKE_P,Xe phổ thông,5,1498611.11,7493056
18,1/8/2025,2025,1,1,2,BH25.0007,7,18,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,25,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,1.0003E+15,Xe đạp Thống Nhất MTB SPD 27.5 ( Đen),Đen,74,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,16,2943055.56,47088889
19,1/9/2025,2025,1,1,2,BH25.0008,8,19,KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,11,Hà Nội,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Đỏ tươi,Đỏ tươi,20,Xe New 24,CITYBIKE_P,Xe phổ thông,20,2222222.22,44444444
20,1/9/2025,2025,1,1,2,BH25.0009,9,20,KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,14,Hưng Yên,Miền Bắc,2.18004E+11,Xe đạp Thống Nhất GN 06-27 2.0 Pro Cam,Cam,61,Xe GN 06-27 2.0 Pro,SPORTBIKE_S,Xe thể thao thép,2,3324074.07,6648148
21,1/9/2025,2025,1,1,2,BH25.0010,10,21,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,54,Thái Nguyên,Miền Bắc,1.00027E+15,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,Café/nâu,46,Xe Spaceboy 16,KIDBIKE_2,Xe trẻ em nhóm 2,3,500000,1500000
22,1/9/2025,2025,1,1,2,BH25.0010,10,22,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,54,Thái Nguyên,Miền Bắc,1.00027E+15,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,Xanh dương,46,Xe Spaceboy 16,KIDBIKE_2,Xe trẻ em nhóm 2,3,500000,1500000
23,1/9/2025,2025,1,1,2,BH25.0010,10,23,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,54,Thái Nguyên,Miền Bắc,1.17002E+11,Xe đạp thống nhất TE Bunny 16 Kem,Kem,41,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,5,500000,2500000
24,1/9/2025,2025,1,1,2,BH25.0010,10,24,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,54,Thái Nguyên,Miền Bắc,1.17002E+11,Xe đạp thống nhất TE Bunny 16 Kem,Kem,41,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,10,500000,5000000
25,1/9/2025,2025,1,1,2,BH25.0010,10,25,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,54,Thái Nguyên,Miền Bắc,1.00021E+15,Xe đạp Thống Nhất TE Love 12 Hồng,Hồng,42,Xe Love 12,KIDBIKE_2,Xe trẻ em nhóm 2,3,470000,1410000
26,1/9/2025,2025,1,1,2,BH25.0010,10,26,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,54,Thái Nguyên,Miền Bắc,1.00022E+15,Xe đạp Thống Nhất TE Love 16 Hồng,Hồng,43,Xe Love 16,KIDBIKE_2,Xe trẻ em nhóm 2,3,500000,1500000
27,1/9/2025,2025,1,1,2,BH25.0010,10,27,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,54,Thái Nguyên,Miền Bắc,1.04001E+15,Xe đạp Thống Nhất TE Batman16 Ghi,Ghi,52,Xe TE Batman16 (IP - Bản quyền),KIDBIKE_2,Xe trẻ em nhóm 2,3,1231481.48,3694444
28,1/9/2025,2025,1,1,2,BH25.0011,11,28,KH-00011,DOANH NGHIỆP TW NAM TIẾN,11,Hà Nội,Miền Bắc,2.18002E+11,Xe đạp Thống Nhất GN 06-27 Coban,Coban,11,Xe GN 06-27,CITYBIKE_P,Xe phổ thông,1,2305555.56,2305556
29,1/10/2025,2025,1,1,2,BH25.0012,17,29,KH-00012,HỘ KINH DOANH THIÊN AN,11,Hà Nội,Miền Bắc,2.26003E+11,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,13,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,1,2592592.59,2592593
30,1/10/2025,2025,1,1,2,BH25.0013,16,30,KH-00013,DOANH NGHIỆP TW THANH BÌNH,14,Hưng Yên,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Coban,Coban,,,,,1,2490740.74,2490741
31,1/10/2025,2025,1,1,2,BH25.0014,18,31,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Hồng,Hồng,20,Xe New 24,CITYBIKE_P,Xe phổ thông,2,1130000,2260000
32,1/10/2025,2025,1,1,2,BH25.0014,18,32,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Trắng,Trắng,20,Xe New 24,CITYBIKE_P,Xe phổ thông,3,1130000,3390000
33,1/10/2025,2025,1,1,2,BH25.0014,18,33,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,20,Xe New 24,CITYBIKE_P,Xe phổ thông,2,1130000,2260000
34,1/10/2025,2025,1,1,2,BH25.0014,18,34,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Kem,Kem,21,Xe New 26,CITYBIKE_P,Xe phổ thông,3,1180000,3540000
35,1/10/2025,2025,1,1,2,BH25.0014,18,35,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Trắng,Trắng,21,Xe New 26,CITYBIKE_P,Xe phổ thông,4,1180000,4720000
36,1/10/2025,2025,1,1,2,BH25.0014,18,36,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,21,Xe New 26,CITYBIKE_P,Xe phổ thông,3,1180000,3540000
37,1/10/2025,2025,1,1,2,BH25.0014,18,37,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,21,Xe New 26,CITYBIKE_P,Xe phổ thông,2,1180000,2360000
38,1/10/2025,2025,1,1,2,BH25.0014,18,38,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,1.25002E+11,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,32,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,2,1050000,2100000
39,1/10/2025,2025,1,1,2,BH25.0014,18,39,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,1.25002E+11,Xe đạp Thống Nhất Puppy 20 Trắng,Trắng,32,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,1,1050000,1050000
40,1/10/2025,2025,1,1,2,BH25.0014,18,40,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,1.00024E+15,Xe đạp Thống Nhất TE Bunny 16 Hồng,Hồng,41,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,3,500000,1500000
41,1/10/2025,2025,1,1,2,BH25.0014,18,41,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,1.00024E+15,Xe đạp Thống Nhất TE Bunny 16 Xanh dương,Xanh dương,41,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,2,500000,1000000
42,1/10/2025,2025,1,1,2,BH25.0014,18,42,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,1.00023E+15,Xe đạp Thống Nhất TE Bunny 12 Hồng,Hồng,40,Xe Bunny 12,KIDBIKE_2,Xe trẻ em nhóm 2,3,470000,1410000
43,1/10/2025,2025,1,1,2,BH25.0014,18,43,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,1.00022E+15,Xe đạp Thống Nhất TE Love 16 Hồng,Hồng,43,Xe Love 16,KIDBIKE_2,Xe trẻ em nhóm 2,3,500000,1500000
44,1/10/2025,2025,1,1,2,BH25.0014,18,44,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,1.00022E+15,Xe đạp Thống Nhất TE Love 16 Xanh dương,Xanh dương,43,Xe Love 16,KIDBIKE_2,Xe trẻ em nhóm 2,1,500000,500000
45,1/10/2025,2025,1,1,2,BH25.0014,18,45,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,1.00027E+15,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,Xanh dương,46,Xe Spaceboy 16,KIDBIKE_2,Xe trẻ em nhóm 2,3,500000,1500000
46,1/10/2025,2025,1,1,2,BH25.0014,18,46,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,10,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,3,1250000,3750000
47,1/10/2025,2025,1,1,2,BH25.0014,18,47,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,10,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,2,1250000,2500000
48,1/10/2025,2025,1,1,2,BH25.0014,18,48,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,3.33002E+11,Xe đạp Thống Nhất Super 26 đen,đen,70,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,2,1300000,2600000
49,1/10/2025,2025,1,1,2,BH25.0014,18,49,KH-00014,HỘ KINH DOANH LONG PHÚ,3,Bắc Ninh,Miền Bắc,3.33002E+11,Xe đạp Thống Nhất Super 26 xanh,xanh,70,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,1,1300000,1300000
50,1/10/2025,2025,1,1,2,BH25.0015,14,50,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,1.0003E+15,Xe đạp Thống Nhất MTB SPD 27.5 ( Đen),Đen,74,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,1,2150000,2150000
51,1/10/2025,2025,1,1,2,BH25.0015,14,51,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,1.0003E+15,Xe đạp Thống Nhất MTB SPD 27.5 ( Ghi),Ghi,74,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,1,2150000,2150000
52,1/10/2025,2025,1,1,2,BH25.0015,14,52,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,1.0003E+15,Xe đạp Thống Nhất MTB SPD 27.5 ( Ghi),Ghi,74,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,3,2150000,6450000
53,1/10/2025,2025,1,1,2,BH25.0015,14,53,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Cam,Cam,10,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,1,1250000,1250000
54,1/10/2025,2025,1,1,2,BH25.0015,14,54,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,10,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,2,1250000,2500000
55,1/10/2025,2025,1,1,2,BH25.0015,14,55,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,2.18003E+11,Xe đạp Thống Nhất GN 06-27 2.0 Ghi,Ghi,12,Xe GN 06-27 2.0,CITYBIKE_P,Xe phổ thông,1,1270000,1270000
56,1/10/2025,2025,1,1,2,BH25.0015,14,56,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,2.18003E+11,Xe đạp Thống Nhất GN 06-27 2.0 Đen,Đen,12,Xe GN 06-27 2.0,CITYBIKE_P,Xe phổ thông,2,1270000,2540000
57,1/10/2025,2025,1,1,2,BH25.0015,14,57,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,2.18003E+11,Xe đạp Thống Nhất GN 06-27 2.0 Cam,Cam,12,Xe GN 06-27 2.0,CITYBIKE_P,Xe phổ thông,1,1270000,1270000
58,1/10/2025,2025,1,1,2,BH25.0015,14,58,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,2.14004E+11,Xe đạp Thống Nhất GN 05-26,26-May,5,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,2,1250000,2500000
59,1/10/2025,2025,1,1,2,BH25.0015,14,59,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,33,Phú Thọ,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,20,Xe New 24,CITYBIKE_P,Xe phổ thông,1,1130000,1130000
60,1/10/2025,2025,1,1,2,BH25.0016,15,60,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,2.26003E+11,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,13,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,1,1200000,1200000
61,1/10/2025,2025,1,1,2,BH25.0016,15,61,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,2.25002E+11,Xe đạp Thống Nhất New 26 Kem,Kem,21,Xe New 26,CITYBIKE_P,Xe phổ thông,5,1180000,5900000
62,1/10/2025,2025,1,1,2,BH25.0016,15,62,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,2.24002E+11,Xe đạp Thống Nhất New 24 Kem,Kem,20,Xe New 24,CITYBIKE_P,Xe phổ thông,3,1130000,3390000
63,1/10/2025,2025,1,1,2,BH25.0016,15,63,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,2.16003E+11,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,8,Xe GN 06-24 2.0,CITYBIKE_P,Xe phổ thông,2,1200000,2400000
64,1/10/2025,2025,1,1,2,BH25.0016,15,64,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,2.26003E+11,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,13,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,1,1200000,1200000
65,1/10/2025,2025,1,1,2,BH25.0016,15,65,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,2.25002E+11,Xe đạp Thống Nhất New 26 Trắng,Trắng,21,Xe New 26,CITYBIKE_P,Xe phổ thông,2,1180000,2360000
66,1/10/2025,2025,1,1,2,BH25.0016,15,66,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,2.25002E+11,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,21,Xe New 26,CITYBIKE_P,Xe phổ thông,1,1180000,1180000
67,1/10/2025,2025,1,1,2,BH25.0016,15,67,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,4.01002E+11,"Xe đạp Thống Nhất Nữ Lốp đỏ, Xanh dương",Xanh dương,,,,,10,1300000,13000000
68,1/10/2025,2025,1,1,2,BH25.0016,15,68,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,2.16003E+11,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,8,Xe GN 06-24 2.0,CITYBIKE_P,Xe phổ thông,3,1200000,3600000
69,1/10/2025,2025,1,1,2,BH25.0016,15,69,KH-00016,DOANH NGHIỆP TW VIỆT ANH,40,Quảng Trị,Miền Trung,3.31002E+11,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,18,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,2,1250000,2500000
70,1/10/2025,2025,1,1,2,BH25.0017,13,70,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,49,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Kem,Kem,21,Xe New 26,CITYBIKE_P,Xe phổ thông,5,1180000,5900000
71,1/10/2025,2025,1,1,2,BH25.0017,13,71,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,49,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Trắng,Trắng,21,Xe New 26,CITYBIKE_P,Xe phổ thông,5,1180000,5900000
72,1/10/2025,2025,1,1,2,BH25.0017,13,72,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,49,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Hồng,Hồng,21,Xe New 26,CITYBIKE_P,Xe phổ thông,5,1180000,5900000
73,1/10/2025,2025,1,1,2,BH25.0017,13,73,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,49,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Trắng,Trắng,20,Xe New 24,CITYBIKE_P,Xe phổ thông,2,1130000,2260000
74,1/10/2025,2025,1,1,2,BH25.0017,13,74,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,49,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Kem,Kem,20,Xe New 24,CITYBIKE_P,Xe phổ thông,2,1130000,2260000
75,1/10/2025,2025,1,1,2,BH25.0017,13,75,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,49,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Hồng,Hồng,20,Xe New 24,CITYBIKE_P,Xe phổ thông,1,1130000,1130000
76,1/10/2025,2025,1,1,2,BH25.0018,12,76,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,11,Hà Nội,Miền Bắc,2.26003E+11,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,13,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,1,1200000,1200000
77,1/10/2025,2025,1,1,2,BH25.0018,12,77,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,11,Hà Nội,Miền Bắc,3.30002E+11,Xe đạp Thống Nhất MTB 24-03 Đen,Đen,17,Xe MTB 24-03,CITYBIKE_P,Xe phổ thông,1,1200000,1200000
78,1/10/2025,2025,1,1,2,BH25.0018,12,78,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,11,Hà Nội,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,20,Xe New 24,CITYBIKE_P,Xe phổ thông,1,1130000,1130000
79,1/10/2025,2025,1,1,2,BH25.0018,12,79,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,11,Hà Nội,Miền Bắc,2.24002E+11,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,20,Xe New 24,CITYBIKE_P,Xe phổ thông,1,1130000,1130000
80,1/10/2025,2025,1,1,2,BH25.0018,12,80,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,11,Hà Nội,Miền Bắc,2.25002E+11,Xe đạp Thống Nhất New 26 Kem,Kem,21,Xe New 26,CITYBIKE_P,Xe phổ thông,2,1180000,2360000
81,1/10/2025,2025,1,1,2,BH25.0018,12,81,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,11,Hà Nội,Miền Bắc,1.25002E+11,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,32,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,1,1050000,1050000
