Số đơn hàng,Ngày đơn hàng,Thời gian nhận Email,Email người gửi,Tên file đính kèm,Tên đơn vị bán,MST bên bán,Địa chỉ bên bán,Số điện thoại bên bán,Tên đại lý,MST đại lý,Địa chỉ giao hàng,Số điện thoại đại lý,Mã hàng,Tên sản phẩm,Đơn vị tính,Số lượng,Đơn giá,Thành tiền sản phẩm,Tổng số lượng chiếc,Tổng giá trị (Chưa VAT)
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.24002E+11,Xe đạp Thống Nhất New 24 Kem,Chiếc,1,1555000,1555000,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.25002E+11,Xe đạp Thống Nhất New 26 Kem,Chiếc,1,1616111,1616111,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.30002E+11,Xe đạp Thống Nhất LD 26 Pastel Hồng,Chiếc,1,1799444,1799444,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.30002E+11,Xe đạp Thống Nhất LD 26 Pastel Xanh,Chiếc,2,1799444,3598888,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.30002E+11,Xe đạp Thống Nhất LD 26 Kem,Chiếc,3,1799444,5398332,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Chiếc,1,1591666,1591666,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Chiếc,3,1591666,4774998,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Cam,Chiếc,1,1591666,1591666,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,2.16003E+11,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Chiếc,2,1530555,3061110,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.04001E+15,Xe đạp Thống Nhất TE Batman16 Ghi,Chiếc,1,1326851,1326851,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,3.37002E+11,Xe đạp Thống Nhất SK 24 Đen,Chiếc,1,1622222,1622222,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.25002E+11,Xe đạp Thống Nhất Puppy 20 Hồng,Chiếc,2,1310555,2621110,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,3.31002E+11,Xe đạp Thống Nhất MTB 26-02 Đen,Chiếc,1,1799444,1799444,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.00027E+15,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,Chiếc,1,943888,943888,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.00027E+15,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,Chiếc,3,943888,2831664,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.03001E+15,Xe đạp Thống Nhất TE Batman12 Ghi,Chiếc,2,1262037,2524074,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.04001E+15,Xe đạp Thống Nhất TE Batman16 Ghi,Chiếc,5,1326851,6634255,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.05002E+11,Xe đạp Thống Nhất Batwheels 12 Đỏ,Chiếc,2,1132407,2264814,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.05002E+11,Xe đạp Thống Nhất Batwheels 12 Xanh,Chiếc,2,1132407,2264814,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.06002E+11,Xe đạp Thống Nhất Batwheels 16 Đen,Chiếc,2,1262037,2524074,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.06002E+11,Xe đạp Thống Nhất Batwheels 16 Xanh,Chiếc,2,1262037,2524074,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.24002E+11,Xe đạp Thống Nhất Neo 2004 Hồng,Chiếc,2,1111111,2222222,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,1.24002E+11,Xe đạp Thống Nhất Neo 2004 Đỏ tươi,Chiếc,1,1111111,1111111,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,3.36002E+11,Xe đạp Thống Nhất SK 20 Đen,Chiếc,2,1377777,2755554,55,78111272
BH26.0939,3/1/2026,3/1/2026 8:47,dathang@khaihoan.vn,BH26_0939.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,DOANH NGHIỆP TƯ NHÂN KHẢI HOÀN,114724820,"57B Nguyễn Trãi, Phường Hạc Thành, Thanh Hóa",986286909,3.36002E+11,Xe đạp Thống Nhất SK 20 xanh,Chiếc,1,1377777,1377777,55,78111272
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,2.17003E+11,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Chiếc,1,1591666,1591666,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,2.16003E+11,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Chiếc,1,1530555,1530555,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,2.16003E+11,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Chiếc,1,1530555,1530555,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,3.31002E+11,Xe đạp Thống Nhất MTB 26-02 Đen,Chiếc,1,1799444,1799444,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,3.37002E+11,Xe đạp Thống Nhất SK 24 ghi,Chiếc,1,1622222,1622222,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,3.37002E+11,Xe đạp Thống Nhất SK 24 Đen,Chiếc,1,1622222,1622222,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,1.32002E+11,Xe đạp Thống Nhất GN 2.0 20 xanh - Superma,Chiếc,1,1310555,1310555,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,3.36002E+11,Xe đạp Thống Nhất SK 20 Đen,Chiếc,1,1377777,1377777,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,3.36002E+11,Xe đạp Thống Nhất SK 20 xanh,Chiếc,1,1377777,1377777,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,1.00024E+15,Xe đạp Thống Nhất TE Bunny 16 Hồng,Chiếc,2,943888,1887776,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,1.00027E+15,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,Chiếc,2,943888,1887776,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,1.00027E+15,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,Chiếc,2,943888,1887776,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,1.00021E+15,Xe đạp Thống Nhất TE Love 12 Hồng,Chiếc,1,882777,882777,18,22573692
BH26.0940,3/1/2026,3/1/2026 14:52,dathang@quangvinh.vn,BH26_0940.pdf,CÔNG TY CỔ PHẦN XE ĐẠP THỐNG NHẤT,300397904,"43 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Q.1, TP. HCM",(028) 3837 0100,HỘ KINH DOANH QUANG VINH,142986152,"Lê Thái Tổ, Thôn Tân Minh, Xã Triệu Sơn, Tỉnh Thanh Hoá, Việt Nam",848186918,1.02002E+11,Xe đạp Thống Nhất We Bare Bears 12 Kem,Chiếc,1,1132407,1132407,18,22573692
